epoch,det_mAP50,det_mAP75,det_mAP,det_mAP_small,det_mAP_medium,det_mAP_large,total_images,tumor_images,normal_images,total_gt_instances,is_best_epoch
5,25.248715763950486,2.3877208009534754,7.967050116004583,0.6179583475588939,6.742234671291255,9.81638795311743,580,296,284,364,False
10,33.673809315453255,3.131653896422641,11.026893802279142,6.901535345842276,11.072256551059322,12.795208101255511,580,296,284,364,False
15,40.46184574822314,6.658388525993366,13.783112051501082,5.747250549230747,10.592609006650271,16.56652334723088,580,296,284,364,False
20,42.06984068530988,6.960170907779753,14.930208803801454,6.56051176546226,14.353577214001692,17.135765389549753,580,296,284,364,False
25,41.72351170656809,7.49343297742281,14.766835428940581,5.430320851634036,13.999190813457178,17.311660970102295,580,296,284,364,False
30,45.963936292941,8.293315035337905,16.649270177399817,6.0327859776060695,15.379416733260049,19.159377523620815,580,296,284,364,False
35,47.50168367836457,10.95366800083521,17.62523815553064,8.524398868458274,15.821331701091564,20.105529598340063,580,296,284,364,False
40,47.12981066862915,7.4176007561262,17.189929105546376,4.399553427828551,15.867279116972751,19.516982205594623,580,296,284,364,False
45,49.41374895784608,9.028684624280103,18.34013528011475,6.664953009096711,16.343744719791893,20.921851993169224,580,296,284,364,False
50,49.48605163536731,7.435673416123659,18.26782748042537,6.815181518151816,17.269388179354277,20.488585898118757,580,296,284,364,True
55,48.68708996930793,8.73095769935772,18.125281888682686,8.392030159237123,15.830953351487725,20.793944777640895,580,296,284,364,False
60,49.09555594510463,8.140089503230472,18.73422136278091,9.104322734967509,16.780996878163236,21.49398739113039,580,296,284,364,False
