model,aug_condition,n_folds_total,n_folds_excluded,excluded_fold_ids,accuracy_mean,accuracy_std,accuracy_folds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_folds,f1_macro_mean,f1_macro_std,f1_macro_folds,auc_roc_mean,auc_roc_std,auc_roc_folds,auc_pr_mean,auc_pr_std,auc_pr_folds,mcc_mean,mcc_std,mcc_folds,brier_score_mean,brier_score_std,brier_score_folds,ece_mean,ece_std,ece_folds,sensitivity_mean,sensitivity_std,sensitivity_folds,specificity_mean,specificity_std,specificity_folds,benign_precision_mean,benign_precision_std,benign_precision_folds,benign_recall_mean,benign_recall_std,benign_recall_folds,benign_f1_mean,benign_f1_std,benign_f1_folds,malignant_precision_mean,malignant_precision_std,malignant_precision_folds,malignant_recall_mean,malignant_recall_std,malignant_recall_folds,malignant_f1_mean,malignant_f1_std,malignant_f1_folds,optimal_threshold_mean,optimal_threshold_std,optimal_threshold_folds
densenet121_se,with_aug,5,0,[],0.8726869463925799,0.04331290670211403,"[0.8098591549295775, 0.9159159159159159, 0.9233038348082596, 0.8410404624277457, 0.8733153638814016]",0.896919630154229,0.02422435118223371,"[0.8838203140528722, 0.9031617848343827, 0.9357864357864358, 0.8621984765129074, 0.8996311395845467]",0.8023182297014368,0.06397262665054768,"[0.6837648352655455, 0.8576923076923078, 0.8546312178387651, 0.7912347101091548, 0.8242680776014109]",0.954244393980965,0.01022247715356791,"[0.958656330749354, 0.9446345469477142, 0.9709796376463042, 0.9428163351671603, 0.9541351193942924]",0.8466203388207774,0.04199268844907041,"[0.7677035797644476, 0.8646961478089471, 0.8930658291585977, 0.8529401500600573, 0.8546959873118375]",0.6513617860171321,0.08820359028673105,"[0.4946857227216232, 0.7260838772292981, 0.7337535914322925, 0.6196779561631408, 0.6826077825393059]",0.05870535146064789,0.009723526915468777,"[0.04282241970297982, 0.0654565303821842, 0.05692305352211554, 0.07165083804612413, 0.056673915649835774]",0.06095321223931808,0.021978835273079457,"[0.03827129731155897, 0.08654027791307853, 0.088659691984235, 0.04788277444639647, 0.04341201954132141]",0.9299181210945916,0.03387739668442201,"[0.9743589743589743, 0.8846153846153846, 0.9523809523809523, 0.8970588235294118, 0.9411764705882353]",0.8639211392138663,0.05051040759463566,"[0.7932816537467701, 0.9217081850533808, 0.9191919191919192, 0.8273381294964028, 0.858085808580858]",0.9844303259832279,0.00965333004276555,"[0.9967532467532467, 0.9773584905660377, 0.9927272727272727, 0.9704641350210971, 0.9848484848484849]",0.8639211392138663,0.05051040759463566,"[0.7932816537467701, 0.9217081850533808, 0.9191919191919192, 0.8273381294964028, 0.858085808580858]",0.9194056215885743,0.028560134337948143,"[0.883453237410072, 0.9487179487179487, 0.9545454545454546, 0.8932038834951457, 0.9171075837742504]",0.5562536710369621,0.12312772578886151,"[0.3220338983050847, 0.6764705882352942, 0.625, 0.5596330275229358, 0.5981308411214953]",0.9299181210945916,0.03387739668442201,"[0.9743589743589743, 0.8846153846153846, 0.9523809523809523, 0.8970588235294118, 0.9411764705882353]",0.6852308378142993,0.1039939635247537,"[0.4840764331210191, 0.7666666666666667, 0.7547169811320755, 0.6892655367231638, 0.7314285714285714]",0.23213092163205146,0.16788001831003907,"[0.05268136039376259, 0.42777782678604126, 0.44289129972457886, 0.13013695180416107, 0.10716716945171356]"
densenet121_se,no_aug,5,0,[],0.8869288590974487,0.05235930560382497,"[0.931924882629108, 0.9039039039039038, 0.8908554572271387, 0.7861271676300579, 0.921832884097035]",0.8733463715549277,0.03725935731094356,"[0.8241900218644405, 0.9273884478510813, 0.8866041366041366, 0.8391345746931866, 0.8894146767617939]",0.8140334964697071,0.04604392915659651,"[0.806445548122268, 0.8488253319713994, 0.800705467372134, 0.7397967479674796, 0.8743943869152551]",0.9122612232980118,0.06735769787244864,"[0.7799642218246869, 0.9562688201478238, 0.9599166265832932, 0.9239314430808294, 0.9412250048534265]",0.804415100841787,0.06537737495905435,"[0.6809761429813846, 0.8650900314473272, 0.8301690280872799, 0.7994228771629492, 0.8464174245299944]",0.655711031110437,0.07257382648687659,"[0.6144115988482897, 0.7262771029046405, 0.632692861810218, 0.5548621060409472, 0.7503114859480902]",0.06283368553432127,0.013588935638224189,"[0.04981324076869578, 0.049838095759917274, 0.06135431709096482, 0.08669799218335596, 0.06646478186867254]",0.051706818557412174,0.012642933770774118,"[0.03800820604736257, 0.04041776517490009, 0.07008243884045114, 0.06290591320808912, 0.0471197695162579]",0.8599008834302951,0.09355400996254766,"[0.6923076923076923, 0.9615384615384616, 0.8809523809523809, 0.9264705882352942, 0.8382352941176471]",0.8867918596795603,0.07209586375588209,"[0.9560723514211886, 0.8932384341637011, 0.8922558922558923, 0.7517985611510791, 0.9405940594059405]",0.976327216486529,0.010170190755980529,"[0.9685863874345549, 0.9920948616600791, 0.9814814814814815, 0.9766355140186916, 0.9628378378378378]",0.8867918596795603,0.07209586375588209,"[0.9560723514211886, 0.8932384341637011, 0.8922558922558923, 0.7517985611510791, 0.9405940594059405]",0.9276574667226593,0.04017535083304791,"[0.9622886866059818, 0.9400749063670412, 0.9347442680776014, 0.8495934959349594, 0.9515859766277128]",0.6024281949934125,0.09540421986522755,"[0.6136363636363636, 0.625, 0.5362318840579711, 0.4772727272727273, 0.76]",0.8599008834302951,0.09355400996254766,"[0.6923076923076923, 0.9615384615384616, 0.8809523809523809, 0.9264705882352942, 0.8382352941176471]",0.700409526216755,0.06513638941557597,"[0.6506024096385542, 0.7575757575757576, 0.6666666666666666, 0.63, 0.7972027972027972]",0.1502567157149315,0.04235058859436636,"[0.11269093304872513, 0.13057200610637665, 0.2205050140619278, 0.11097145080566406, 0.1765441745519638]"
resnet18_se,with_aug,5,0,[],0.8484623454702973,0.055439081178037794,"[0.7464788732394366, 0.9039039039039038, 0.8908554572271387, 0.8439306358381503, 0.8571428571428571]",0.8765014418405725,0.03668043779000196,"[0.8258795468097794, 0.9195524226663017, 0.9172679172679172, 0.8528882776132036, 0.866919044845661]",0.7733933511497877,0.07920034761364513,"[0.6196428571428572, 0.8470723306544202, 0.8089035147858677, 0.7911001788908766, 0.800247874274917]",0.9304536664790245,0.0214795814428066,"[0.9041277413370437, 0.9398439638653162, 0.9667308000641333, 0.9174248836225136, 0.9241409435061153]",0.7842314344036512,0.07142713161383545,"[0.6539942968928525, 0.8171144427454243, 0.8702668287501427, 0.7897779547030439, 0.7900036489267922]",0.6045989438590349,0.10888391629192701,"[0.39943204059796555, 0.7192066081661911, 0.6623922835060699, 0.6116735897624276, 0.6302901972625204]",0.07310505275811943,0.016535494641873146,"[0.07323070579438216, 0.06310763486706258, 0.047980866259728513, 0.09403564473426816, 0.08717041213515571]",0.06954859383307829,0.015916222608964123,"[0.08669610182479233, 0.04717905524077717, 0.053794745800901295, 0.07861879666072095, 0.0814542696381997]",0.9135531135531135,0.03318417222836065,"[0.9230769230769231, 0.9423076923076923, 0.9523809523809523, 0.8676470588235294, 0.8823529411764706]",0.8394497701280317,0.05920895792341059,"[0.7286821705426356, 0.896797153024911, 0.8821548821548821, 0.8381294964028777, 0.8514851485148515]",0.9805735900275726,0.011893661235305815,"[0.9894736842105263, 0.9882352941176471, 0.9924242424242424, 0.9628099173553719, 0.9699248120300752]",0.8394497701280317,0.05920895792341059,"[0.7286821705426356, 0.896797153024911, 0.8821548821548821, 0.8381294964028777, 0.8514851485148515]",0.9033277087532046,0.03598819702919003,"[0.8392857142857143, 0.9402985074626866, 0.9340463458110517, 0.8961538461538462, 0.9068541300527241]",0.511118774842179,0.13147670164457478,"[0.2553191489361702, 0.6282051282051282, 0.5333333333333333, 0.5673076923076923, 0.5714285714285714]",0.9135531135531135,0.03318417222836065,"[0.9230769230769231, 0.9423076923076923, 0.9523809523809523, 0.8676470588235294, 0.8823529411764706]",0.6434589935463709,0.12442975968399518,"[0.4, 0.7538461538461538, 0.6837606837606838, 0.686046511627907, 0.6936416184971098]",0.24926281571388245,0.08738274761145308,"[0.12745675444602966, 0.2517778277397156, 0.18679195642471313, 0.30197063088417053, 0.3783169090747833]"
resnet18_se,no_aug,5,0,[],0.8579600227278368,0.030804216703456695,"[0.8967136150234741, 0.8738738738738738, 0.8761061946902655, 0.8236994219653179, 0.8194070080862533]",0.8575433764284941,0.02803368012923232,"[0.8509242695289206, 0.8704147276211334, 0.8986291486291487, 0.8125264494286923, 0.8552222869345758]",0.7753858125053817,0.01624296617748221,"[0.7629622135666954, 0.8015832482124616, 0.7873655913978495, 0.7612092276013441, 0.7638087817485582]",0.9206018186288454,0.01949574536610222,"[0.8964420592327569, 0.9343005748699699, 0.9481321147987816, 0.9014494286923402, 0.9226849155503786]",0.7712405444043344,0.03761613500655575,"[0.7100348577128384, 0.825387758538155, 0.7767741452806471, 0.7584932092098519, 0.7855127512801795]",0.5879407567602709,0.03405937122571793,"[0.5559638588443211, 0.6294595387464158, 0.6240715184615585, 0.5463235212700086, 0.5838853464790507]",0.06748472284946022,0.014709623398175935,"[0.05230972354638549, 0.05880914513776151, 0.05698479369845624, 0.09082810778089608, 0.07849184408380179]",0.04195590636056618,0.007376818479704129,"[0.04771964738206685, 0.02805707734581587, 0.04404772765890511, 0.04837259812808106, 0.04158248128796203]",0.858942038353803,0.05654589426707562,"[0.7948717948717948, 0.8653846153846154, 0.9285714285714286, 0.7941176470588235, 0.9117647058823529]",0.8561447145031853,0.03755375162870513,"[0.9069767441860465, 0.8754448398576512, 0.8686868686868687, 0.8309352517985612, 0.7986798679867987]",0.971443446968817,0.01528049487108609,"[0.9777158774373259, 0.9723320158102767, 0.9885057471264368, 0.9428571428571428, 0.9758064516129032]",0.8561447145031853,0.03755375162870513,"[0.9069767441860465, 0.8754448398576512, 0.8686868686868687, 0.8309352517985612, 0.7986798679867987]",0.9097732737469088,0.02455804501962322,"[0.9410187667560321, 0.9213483146067416, 0.9247311827956989, 0.8833652007648184, 0.8784029038112523]",0.512781014632224,0.033761391591167055,"[0.4626865671641791, 0.5625, 0.5, 0.5346534653465347, 0.5040650406504065]",0.858942038353803,0.05654589426707562,"[0.7948717948717948, 0.8653846153846154, 0.9285714285714286, 0.7941176470588235, 0.9117647058823529]",0.6409983512638548,0.03151180522626076,"[0.5849056603773585, 0.6818181818181818, 0.65, 0.6390532544378699, 0.6492146596858639]",0.1538345605134964,0.029503700267417048,"[0.1894838660955429, 0.1691107153892517, 0.1486644595861435, 0.16074447333812714, 0.10116928815841675]"
efficientnet_b0_se,with_aug,5,0,[],0.8689515783720392,0.04177643311452477,"[0.852112676056338, 0.8888888888888888, 0.9410029498525073, 0.8352601156069365, 0.8274932614555256]",0.8846959090652777,0.031207549183128083,"[0.86096203538064, 0.9028196003284972, 0.9356661856661856, 0.8752644942869234, 0.8487672296641429]",0.7962471491132457,0.05530721488936641,"[0.7158526643444749, 0.8261930623933191, 0.8807178043631245, 0.7897329281944667, 0.7687392862708431]",0.9427226946121945,0.020388289093746435,"[0.9242032730404823, 0.9473720229947988, 0.975949975949976, 0.9475772323317817, 0.9185109687439332]",0.8131137056291369,0.06808627145457645,"[0.7040456474142023, 0.8497393757796334, 0.894785050759676, 0.8486777370640183, 0.7683207171281542]",0.6346424821088525,0.09021490374448413,"[0.5059553138199313, 0.6816361924014891, 0.7730355875946172, 0.6304253285451518, 0.5821599881830731]",0.07889412261732114,0.013949518325070515,"[0.09483724029733047, 0.057321912808548356, 0.06903635882876794, 0.08237696316916111, 0.09089813798279782]",0.09428650024789426,0.03485347529818238,"[0.151183845571509, 0.05146188794022745, 0.11456137779100103, 0.0762130998699479, 0.0780122900667859]",0.9093945270415859,0.027239805028405263,"[0.8717948717948718, 0.9230769230769231, 0.9285714285714286, 0.9411764705882353, 0.8823529411764706]",0.8599972910889697,0.049050436169738344,"[0.8501291989664083, 0.8825622775800712, 0.9427609427609428, 0.8093525179856115, 0.8151815181518152]",0.9819432839210117,0.007036290886265438,"[0.9850299401197605, 0.9841269841269841, 0.9893992932862191, 0.982532751091703, 0.9686274509803922]",0.8599972910889697,0.049050436169738344,"[0.8501291989664083, 0.8825622775800712, 0.9427609427609428, 0.8093525179856115, 0.8151815181518152]",0.9163197676212608,0.029751396693610373,"[0.912621359223301, 0.9305816135084428, 0.9655172413793104, 0.8875739644970414, 0.8853046594982079]",0.544567261546272,0.10653325211817555,"[0.3695652173913043, 0.5925925925925926, 0.6964285714285714, 0.5470085470085471, 0.5172413793103449]",0.9093945270415859,0.027239805028405263,"[0.8717948717948718, 0.9230769230769231, 0.9285714285714286, 0.9411764705882353, 0.8823529411764706]",0.6761745306052307,0.09156548592362695,"[0.5190839694656488, 0.7218045112781954, 0.7959183673469388, 0.6918918918918919, 0.6521739130434783]",0.3428384602069855,0.17793241509366522,"[0.4544313848018646, 0.2067066878080368, 0.6384711265563965, 0.16747774183750153, 0.24710536003112793]"
efficientnet_b0_se,no_aug,5,0,[],0.8910825950755079,0.01111436826804917,"[0.9084507042253521, 0.8888888888888888, 0.8761061946902655, 0.884393063583815, 0.8975741239892183]",0.8858980622837558,0.014507863360986755,"[0.8919697873186245, 0.8871475499589379, 0.9088504088504088, 0.8669593736775285, 0.874563191613279]",0.8159143671230717,0.021495356726713398,"[0.791582512701499, 0.8221384955177342, 0.7900990682863545, 0.8329551489402791, 0.8427966101694915]",0.9396898955246551,0.019344823756129483,"[0.9116146558007023, 0.9389542841500137, 0.9710598043931377, 0.9453025814642404, 0.9315181518151815]",0.8184684950836093,0.043375032966903336,"[0.7394825657306445, 0.8309392207394918, 0.8688897627229493, 0.8395703428704603, 0.8134605833545003]",0.657148704630508,0.027426260866214882,"[0.6172689126935528, 0.6666471048783738, 0.6344573404271016, 0.6748215394116055, 0.6925486257419067]",0.06015690908621747,0.0115722259220008,"[0.04469789381857303, 0.05565821745303484, 0.05320695166718315, 0.07345329793596192, 0.07376818455633438]",0.04510674094735114,0.007647904350561353,"[0.04281712846367013, 0.044450678401165185, 0.05802770602382213, 0.03419985116131044, 0.046038340686787825]",0.8770523594053007,0.041887388462604105,"[0.8717948717948718, 0.8846153846153846, 0.9523809523809523, 0.8382352941176471, 0.8382352941176471]",0.894743765162211,0.017063541246655056,"[0.9121447028423773, 0.8896797153024911, 0.8653198653198653, 0.89568345323741, 0.9108910891089109]",0.9748477586781936,0.013414710253029974,"[0.9860335195530726, 0.9765625, 0.9922779922779923, 0.9576923076923077, 0.9616724738675958]",0.894743765162211,0.017063541246655056,"[0.9121447028423773, 0.8896797153024911, 0.8653198653198653, 0.89568345323741, 0.9108910891089109]",0.9328907825575424,0.00838892881230072,"[0.9476510067114094, 0.931098696461825, 0.9244604316546763, 0.9256505576208178, 0.9355932203389831]",0.5877529447296889,0.07664585545021735,"[0.5, 0.5974025974025974, 0.5, 0.6627906976744186, 0.6785714285714286]",0.8770523594053007,0.041887388462604105,"[0.8717948717948718, 0.8846153846153846, 0.9523809523809523, 0.8382352941176471, 0.8382352941176471]",0.698937951688601,0.04562119453018445,"[0.6355140186915887, 0.7131782945736435, 0.6557377049180327, 0.7402597402597403, 0.75]",0.1382190227508545,0.027098609366566405,"[0.11200172454118729, 0.10016582161188126, 0.1499514877796173, 0.16144607961177826, 0.16753000020980835]"
mobilenet_v2_se,with_aug,5,0,[],0.8840480576535714,0.03963261265497178,"[0.92018779342723, 0.8978978978978979, 0.911504424778761, 0.8092485549132948, 0.8814016172506739]",0.8584950826202592,0.037232053987800925,"[0.7946730272311668, 0.8924856282507527, 0.8983886483886484, 0.8479686838764282, 0.8589594253543001]",0.8041457551354968,0.03011852834582078,"[0.7754836309523809, 0.8335978835978836, 0.829636826588046, 0.7605787376808555, 0.821431696858318]",0.9204036254591277,0.028965678027277637,"[0.8730537335188499, 0.9373117985217629, 0.9596761263427931, 0.909437156157427, 0.9225393127548049]",0.7679751575801788,0.05600707529479606,"[0.6676911575299024, 0.8358142344463441, 0.7966083445381792, 0.7599357419530149, 0.7798263094334529]",0.6298461431551058,0.053962532975073536,"[0.5529545317382543, 0.6853980180012571, 0.6790536554995156, 0.5788194096924879, 0.6530051008440143]",0.10517365020471828,0.028951372706306912,"[0.12932078055453894, 0.06913097014562615, 0.07252848167311135, 0.11623895692098557, 0.1386490617293294]",0.14836080921905323,0.054610884226865074,"[0.20914997274117292, 0.07455139952871176, 0.10699233523732088, 0.1396513050152904, 0.21145903357277016]",0.828377504848093,0.09798414861468298,"[0.6410256410256411, 0.8846153846153846, 0.8809523809523809, 0.9117647058823529, 0.8235294117647058]",0.8886126603924256,0.05546982981260299,"[0.9483204134366925, 0.900355871886121, 0.9158249158249159, 0.7841726618705036, 0.8943894389438944]",0.9705698974705491,0.008916626510761767,"[0.963254593175853, 0.9768339768339769, 0.9819494584837545, 0.9732142857142857, 0.9575971731448764]",0.8886126603924256,0.05546982981260299,"[0.9483204134366925, 0.900355871886121, 0.9158249158249159, 0.7841726618705036, 0.8943894389438944]",0.9267883935047191,0.03091731159996968,"[0.9557291666666666, 0.937037037037037, 0.9477351916376306, 0.8685258964143426, 0.9249146757679181]",0.5837023456801351,0.046637532817866346,"[0.5555555555555556, 0.6216216216216216, 0.5967741935483871, 0.5081967213114754, 0.6363636363636364]",0.828377504848093,0.09798414861468298,"[0.6410256410256411, 0.8846153846153846, 0.8809523809523809, 0.9117647058823529, 0.8235294117647058]",0.6815031167662747,0.050740500846987564,"[0.5952380952380952, 0.7301587301587301, 0.7115384615384616, 0.6526315789473685, 0.717948717948718]",0.524664181470871,0.15990019810612346,"[0.7526647448539734, 0.37363556027412415, 0.4570695757865906, 0.36435824632644653, 0.6755927801132202]"
mobilenet_v2_se,no_aug,5,0,[],0.832154958953271,0.05884647958081691,"[0.7511737089201878, 0.8738738738738738, 0.9203539823008849, 0.8121387283236994, 0.8032345013477089]",0.8486866272145989,0.02663699636533563,"[0.8054064798250845, 0.8860867779906926, 0.8625541125541125, 0.8497672450275073, 0.8396185206755971]",0.75289629949812,0.07429451836154274,"[0.617231207405147, 0.8059655937846837, 0.8317617866004963, 0.7634300019985905, 0.7460929077016829]",0.9116778533509355,0.02193164674828854,"[0.8840522096336051, 0.9338899534629072, 0.9351451018117685, 0.887907321201862, 0.917394680644535]",0.7446464886497076,0.05777600374521278,"[0.6463993895929001, 0.7966257100826784, 0.776206877384177, 0.7118020499377362, 0.7921984162510466]",0.5658005380038078,0.10228041249175042,"[0.3786017789020269, 0.6454021975204729, 0.6682275383695258, 0.5829107196864242, 0.5538604555405893]",0.07990784830023412,0.012884959859510846,"[0.0670164893003933, 0.06717193600670232, 0.08549473219315976, 0.10154050338643622, 0.07831558061447896]",0.06735370636123852,0.024151123584099515,"[0.06795488905703796, 0.04553034548107927, 0.11021285618388899, 0.07011419982579402, 0.04295624125839244]",0.8740357681534151,0.04614737000715273,"[0.8717948717948718, 0.9038461538461539, 0.7857142857142857, 0.9117647058823529, 0.8970588235294118]",0.8233374862757824,0.07150118964320046,"[0.7390180878552972, 0.8683274021352313, 0.9393939393939394, 0.7877697841726619, 0.7821782178217822]",0.9752264713747673,0.005301157720199159,"[0.9828178694158075, 0.9799196787148594, 0.96875, 0.9733333333333334, 0.9713114754098361]",0.8233374862757824,0.07150118964320046,"[0.7390180878552972, 0.8683274021352313, 0.9393939393939394, 0.7877697841726619, 0.7821782178217822]",0.8911157651222592,0.0402076892366692,"[0.8436578171091446, 0.9207547169811321, 0.9538461538461539, 0.8707753479125249, 0.8665447897623401]",0.4902292279499741,0.13176549152006956,"[0.2518518518518518, 0.5595238095238095, 0.6470588235294118, 0.512396694214876, 0.48031496062992124]",0.8740357681534151,0.04614737000715273,"[0.8717948717948718, 0.9038461538461539, 0.7857142857142857, 0.9117647058823529, 0.8970588235294118]",0.614676833873981,0.11561220093872282,"[0.39080459770114945, 0.6911764705882353, 0.7096774193548387, 0.656084656084656, 0.6256410256410256]",0.25429392904043197,0.2071654041719075,"[0.10642756521701813, 0.2500777542591095, 0.6546147465705872, 0.1587877869606018, 0.10156179219484329]"
convnext_tiny_se,with_aug,5,0,[],0.8773537316322363,0.048735141923396515,"[0.8262910798122066, 0.9159159159159159, 0.9321533923303835, 0.8121387283236994, 0.9002695417789758]",0.9084390228170827,0.03467903249840946,"[0.892864241701451, 0.9266698603887216, 0.951058201058201, 0.8497672450275073, 0.9218355659095321]",0.8108947543758701,0.06751999730510164,"[0.7006267806267806, 0.8629629629629629, 0.8704063824482673, 0.7634300019985905, 0.8570476438427492]",0.9621260814967408,0.018042449024789055,"[0.9606440071556351, 0.9660552970161511, 0.9840468173801507, 0.9295387219636057, 0.9703455639681615]",0.8697957500008704,0.050909327810175875,"[0.7948410298655081, 0.9230769521886351, 0.922353141380847, 0.8292289699467201, 0.8794786566226417]",0.6692604263611412,0.1003389087452565,"[0.5162303297128702, 0.7450939744078182, 0.7640831689582875, 0.5829107196864242, 0.7379839390403063]",0.056882289782547724,0.01716257657859494,"[0.06355260592230512, 0.036072163421758785, 0.04283926075904976, 0.08513126603419004, 0.05681615277543495]",0.06177659332820114,0.022253354221151284,"[0.09513197901785513, 0.02899336105620897, 0.06092689405016842, 0.0739148723532182, 0.049915860163555]",0.9521008403361344,0.023718956192615652,"[0.9743589743589743, 0.9423076923076923, 0.9761904761904762, 0.9117647058823529, 0.9558823529411765]",0.8647772052980308,0.05511938342769644,"[0.8113695090439277, 0.9110320284697508, 0.9259259259259259, 0.7877697841726619, 0.8877887788778878]",0.9887846236810433,0.00849949953796965,"[0.9968253968253968, 0.9884169884169884, 0.9963768115942029, 0.9733333333333334, 0.9889705882352942]",0.8647772052980308,0.05511938342769644,"[0.8113695090439277, 0.9110320284697508, 0.9259259259259259, 0.7877697841726619, 0.8877887788778878]",0.921804589700953,0.03370094532940063,"[0.8945868945868946, 0.9481481481481482, 0.9598603839441536, 0.8707753479125249, 0.9356521739130435]",0.5648521012157376,0.1245220756795316,"[0.34234234234234234, 0.6621621621621622, 0.6507936507936508, 0.512396694214876, 0.6565656565656566]",0.9521008403361344,0.023718956192615652,"[0.9743589743589743, 0.9423076923076923, 0.9761904761904762, 0.9117647058823529, 0.9558823529411765]",0.6999849190507873,0.10776114964868619,"[0.5066666666666667, 0.7777777777777778, 0.780952380952381, 0.656084656084656, 0.7784431137724551]",0.23675835132598877,0.0669676751427481,"[0.19156159460544586, 0.16896921396255493, 0.3616454601287842, 0.22313883900642395, 0.23847664892673492]"
convnext_tiny_se,no_aug,5,0,[],0.9163949470462862,0.027424819840040637,"[0.9342723004694836, 0.9369369369369369, 0.9380530973451328, 0.8670520231213873, 0.9056603773584906]",0.9099249109981742,0.02204641069427754,"[0.9292387199363944, 0.9156173008486175, 0.9237614237614238, 0.8672767668218366, 0.9137303436225976]",0.8561069857061316,0.025168949223825333,"[0.8413829787234042, 0.8880923042455473, 0.8736802881629611, 0.8161954915003695, 0.8611838658983761]",0.9617118700219063,0.011727846973455549,"[0.9582587954680978, 0.9670134136326307, 0.9757094757094757, 0.9410177740160813, 0.966559891283246]",0.8683315140054966,0.028962108986234077,"[0.8402004500156967, 0.9172695441852954, 0.885387509627877, 0.8495056273743861, 0.8492944388242273]",0.7269723301169664,0.04454081928166524,"[0.7068142928475791, 0.7800619161770622, 0.7573798905386175, 0.6519205718546818, 0.7386849791668915]",0.05019515012014393,0.01162117826859853,"[0.05115113553862658, 0.037361248577443704, 0.03863790115716935, 0.06903531997105, 0.054790145356430016]",0.03949246506030023,0.021555124198823845,"[0.08083060563939838, 0.017940040795249985, 0.029395733275904064, 0.03531349310382253, 0.0339824524871262]",0.9013143719026072,0.02249743755626878,"[0.9230769230769231, 0.8846153846153846, 0.9047619047619048, 0.8676470588235294, 0.9264705882352942]",0.9185354500937407,0.03044139737441464,"[0.9354005167958657, 0.9466192170818505, 0.9427609427609428, 0.8669064748201439, 0.900990099009901]",0.9803303759670703,0.009354481235267815,"[0.9917808219178083, 0.9779411764705882, 0.9859154929577465, 0.964, 0.9820143884892086]",0.9185354500937407,0.03044139737441464,"[0.9354005167958657, 0.9466192170818505, 0.9427609427609428, 0.8669064748201439, 0.900990099009901]",0.9482569039225236,0.01983542500613715,"[0.9627659574468085, 0.9620253164556962, 0.963855421686747, 0.9128787878787878, 0.9397590361445783]",0.6654348148326201,0.05814700492120181,"[0.5901639344262295, 0.7540983606557377, 0.6909090909090909, 0.6145833333333334, 0.6774193548387096]",0.9013143719026072,0.02249743755626878,"[0.9230769230769231, 0.8846153846153846, 0.9047619047619048, 0.8676470588235294, 0.9264705882352942]",0.7639570674897398,0.037836080018233666,"[0.72, 0.8141592920353983, 0.7835051546391752, 0.7195121951219512, 0.782608695652174]",0.2528734028339386,0.10113746482692432,"[0.45328789949417114, 0.19660764932632446, 0.21075037121772766, 0.18145030736923218, 0.22227078676223755]"
