Feature,drop_mean,drop_std,pct_drop,n_valid
tibia,0.002734936512603814,0.0037191242030706123,0.3612446580461373,50
elbow-joint,0.0021705049259579125,0.0003332936717002125,0.28669159454039067,50
humerus,0.001943136662188678,0.0027483261255304876,0.2566596101351427,50
gender,0.0018480623815562236,0.002797114162442607,0.24410170400541134,50
fibula,0.0004647483101776362,0.0021021618563148376,0.061386377202519285,50
hip bone,0.00023015951100872512,0.0011759705505162957,0.030400666877365798,50
oblique,0.00014390909165955091,0.0009014160797511961,0.019008262300315968,50
lower limb,0.000120179543141965,0.0025550367286548267,0.015873939949387482,50
lateral,7.565318550348366e-05,0.0020765980808729848,0.009992666740657867,50
hip-joint,0.0,0.0,0.0,50
wrist-joint,0.0,0.0,0.0,50
ankle-joint,0.0,0.0,0.0,50
shoulder-joint,0.0,0.0,0.0,50
femur,-8.805729594713929e-05,0.002837188937046586,-0.011631066248264285,50
pelvis,-0.00018430021746195457,0.0017128706287962985,-0.02434333255198199,50
foot,-0.000521471805422069,0.0006735030255048008,-0.06887871186854345,50
hand,-0.0005520877387738521,0.0010968885154488677,-0.07292262379244353,50
lr_prob,-0.0007872693184117896,0.00040588067726614254,-0.10398663164912765,50
frontal,-0.0009544541095870462,0.0016886206834205127,-0.12606926956057277,50
age,-0.0010903395181425424,0.0027104052599102885,-0.14401772200942153,50
radius,-0.0014745574646087523,0.0011133646131047117,-0.1947672293733906,50
knee-joint,-0.0034603723273061537,0.0005514013482774881,-0.45706399849842155,50
upper limb,-0.0035495842928869293,0.002310466380139855,-0.4688475795253788,50
ulna,-0.0045834242046964915,0.001299379026178989,-0.6054025392822071,50
